"parentCustomerID","child_id","ChildCustomerId"
1067,1075,iv. Restaurant
1067,1075,Chain
1077,1078,"1. Parent company"
1079,1080,Owner
1082,1083,"3. Factuuradres"
1082,1083,"1. Parent company"
1494,1084,"1. Parent company"
1494,1084,i. Hotel Chain
1084,1085,"1. Parent company"
1084,1085,i. Hotel Chain
107,1086,"1. Parent company"
1087,1088,"1. Parent company"
1089,1090,"1. Parent company"
1092,1093,"1. Parent company"
632,1097,"1. Parent company"
1099,1100,"1. Parent company"
1101,1102,"1. Parent company"
68,1104,"3. Factuuradres"
68,1104,"1. Parent company"
288,1111,"1. Parent company"
1112,1113,"1. Parent company"
312,1114,ii. Hotel
251,1117,"1. Parent company"
223,1118,"1. Parent company"
223,1119,"3. Factuuradres"
223,1119,"1. Parent company"
223,1120,"3. Factuuradres"
223,1120,"1. Parent company"
223,1121,"3. Factuuradres"
223,1121,"1. Parent company"
223,1122,"1. Parent company"
223,1123,"3. Factuuradres"
223,1123,"1. Parent company"
223,1124,"1. Parent company"
223,1125,"1. Parent company"
223,1126,"1. Parent company"
223,1127,"3. Factuuradres"
223,1127,"1. Parent company"
223,1128,"1. Parent company"
181,1131,Reservations
286,1141,C. Traveller
197,1144,C. Traveller
758,1144,C. Traveller
197,1145,"3. Factuuradres"
197,1145,"1. Parent company"
197,1146,C. Traveller
197,1147,"1. Parent company"
214,1148,"1. Parent company"
214,1149,"3. Factuuradres"
214,1149,"1. Parent company"
214,1150,"1. Parent company"
214,1154,"1. Parent company"
214,1155,"3. Factuuradres"
214,1155,"1. Parent company"
214,1156,"3. Factuuradres"
214,1156,"1. Parent company"
214,1157,ii. Hotel
214,1157,"1. Parent company"
214,1158,"1. Parent company"
214,1159,"1. Parent company"
214,1160,"1. Parent company"
214,1161,"3. Factuuradres"
214,1161,ii. Hotel
214,1161,"1. Parent company"
214,1162,Reservations
197,1163,"1. Parent company"
197,1164,Owner
1166,1167,"1. Parent company"
301,1171,"3. Factuuradres"
301,1171,"1. Parent company"
301,1171,i. Hotel Chain
297,1172,"1. Parent company"
284,1173,"1. Parent company"
189,1174,"3. Factuuradres"
189,1174,"1. Parent company"
291,1179,Banquet Sales
174,1180,"1. Parent company"
219,1181,"1. Parent company"
219,1182,"1. Parent company"
219,1183,"3. Factuuradres"
219,1183,"1. Parent company"
219,1184,"3. Factuuradres"
219,1184,"1. Parent company"
219,1184,Reservations
219,1185,"1. Parent company"
219,1186,"3. Factuuradres"
219,1186,"1. Parent company"
219,1186,i. Hotel Chain
98,1189,"3. Factuuradres"
98,1189,"1. Parent company"
214,1190,"3. Factuuradres"
214,1190,"1. Parent company"
214,1191,"3. Factuuradres"
214,1191,"1. Parent company"
214,1192,"1. Parent company"
214,1193,"1. Parent company"
289,1195,"1. Parent company"
853,1196,"1. Parent company"
853,1197,"1. Parent company"
853,1198,"1. Parent company"
853,1199,"3. Factuuradres"
853,1199,"1. Parent company"
310,1200,"1. Parent company"
738,1201,"1. Parent company"
1202,1203,"1. Parent company"
1050,1204,"3. Factuuradres"
